"contract_id","case_filed_yr","case_filed_month","jurisdiction","zip","assign_atty","case_type","settlement_offer","amount_billed"
"005D363979   ","2013","09","Arkansas            ","71753","100","05223",1000,34000
"008C021535   ","2013","02","South Carolina      ","29072","100","05122",700000,64500
" 680 5994X040","2012","02","California          ","92376","712","05219",0,212300
"007712C570   ","2013","10","South Carolina      ","29681","620","05121",146604000,2558600
" 680 1758M57A","2012","03","Indiana             ","47807","712","05219",0,28000
" 680 8773L179","2012","08","Indiana             ","46240","994","05119",0,220000
" 680 1B85939A","2012","01","Oklahoma            ","73110","531","05119",0,79900
" 680 6132N439","2012","08","California          ","93449","562","05219",0,52700
" 680 418H3885","2012","08","California          ","90010","651","05119",0,27400
" 680 379M6199","2012","08","Missouri            ","64503","147","05121",2922000,111900
" 680 8260P582","2012","03","North Carolina      ","28638","599","05119",0,4100
"008D209263   ","2013","11","Alabama             ","35611","169","05122",500000,197100
"005747X551   ","2013","03","South Carolina      ","29210","600","05223",224000,304000
" 680 1931M450","2012","06","Idaho               ","83501","712","05119",0,38300
"001B212280   ","2013","11","Kansas              ","66502","592","05122",4110000,221800
" 680 6766X11A","2012","03","California          ","90035","712","05122",416000,30000
" 680 8699M850","2012","02","Georgia             ","30341","599","05119",0,22100
" 680 8405M458","2012","08","Georgia             ","30062","994","05119",0,903800
"009B708009   ","2013","06","North Carolina      ","28205","094","05121",10771000,452900
" 680 3882C788","2012","04","Connecticut         ","06514","651","05119",0,171500
" 680 5190P047","2012","01","Ohio                ","44905","712","05121",4522000,34200
"006081A570   ","2013","06","New York            ","11374","612","05223",10000000,782100
"005029L392   ","2013","07","New Jersey          ","08009","612","05121",13113000,344400
" PACP3996X037","2012","02","Texas               ","78205","043","05233",0,16300
" 680 2A044429","2012","05","California          ","91403","416","05119",0,6200
" 680 884J1098","2012","08","California          ","95207","651","05119",0,6300
" 680 6B90329A","2012","04","California          ","94104","651","05119",0,7900
"003D516077   ","2013","06","Illinois            ","62568","915","05223",34000,155100
"009348L100   ","2013","01","Colorado            ","80110","101","05122",919000,61300
"006A694350   ","2013","10","Utah                ","84404","010","05121",40349000,609500
"001678P732   ","2013","10","Pennsylvania        ","15108","942","05223",12000,126800
" 680 1827C085","2012","08","West Virginia       ","26505","620","05121",383582000,3703500
" 680 9A634021","2012","01","California          ","91731","651","05119",0,12300
"003D295971   ","2013","06","New Hampshire       ","03048","100","05219",0,61400
"006A313373   ","2013","09","District of Columbia","20010","612","05121",3000000,128900
" 680 3B041931","2012","02","New Jersey          ","07108","712","05219",0,482200
" PACP7942X721","2012","04","Texas               ","78602","612","05121",50703000,733700
"008640R09A   ","2013","09","Georgia             ","30501","543","05122",5200000,404200
" 680 1663B435","2012","03","Massachusetts       ","01507","755","05121",2901000,318100
"005702M32A   ","2013","09","Pennsylvania        ","19134","100","05223",3000,170700
" 680 3C300800","2012","08","Connecticut         ","06510","691","05219",0,32400
"002365P412   ","2013","11","Illinois            ","60471","592","05224",10000000,23600
" 680 6293P323","2012","02","California          ","91350","712","05219",0,228000
"006D591507   ","2013","09","Montana             ","59715","841","05122",364000,29800
"007305P51A   ","2013","02","Wyoming             ","82930","149","05224",10000000,3600
" 680 3866P216","2012","01","Georgia             ","30439","749","05121",1050000,25800
" 680 8614L193","2012","08","Illinois            ","60133","651","05219",0,9800
"007533X520   ","2013","03","Rhode Island        ","02911","968","05223",27000,82200
" 680 6611P993","2012","03","California          ","95670","651","05219",0,5700
"005468M360   ","2013","08","New Jersey          ","07054","169","05122",348000,177600
"007390C435   ","2013","10","Massachusetts       ","01830","134","05223",1000,25500
" 680 5A213315","2012","08","California          ","94901","926","05119",0,20400
"006140M708   ","2013","08","Virginia            ","20165","100","05219",0,44000
" 680 390M207A","2012","08","Maryland            ","20640","620","05121",178001000,2412100
"007C703991   ","2013","01","Texas               ","75244","100","05213",10000000,8500
"001D101282   ","2013","04","North Carolina      ","27107","010","05224",20000000,1400
"0035F21343   ","2013","05","South Carolina      ","29439","043","05121",2272000,530400
"005478L204   ","2013","09","Massachusetts       ","02119","620","05121",69198000,1593600
" 680 9799C795","2012","01","Connecticut         ","06443","712","05119",0,24600
" 680 6428P639","2012","02","Illinois            ","60062","612","05219",0,8000
"009B164432   ","2013","06","Connecticut         ","06032","612","05223",45000,641000
" 680 4788X916","2012","08","Louisiana           ","71270","712","05219",0,116600
" 680 1505B550","2012","08","Arkansas            ","72764","755","05119",0,88900
"006D713331   ","2013","10","North Carolina      ","27560","913","05223",37000,68700
"003D84317A   ","2013","07","Mississippi         ","39301","169","05223",2826000,1217000
" 680 5494L23A","2012","07","West Virginia       ","25177","543","05219",0,38900
"004571B939   ","2013","09","Pennsylvania        ","19475","543","05121",4889000,292400
" 680 8806X444","2012","05","New York            ","14072","612","05223",58000,1318600
" 680 1B729545","2012","08","Virginia            ","20171","756","05119",0,16600
"00559M4966   ","2013","12","Texas               ","79097","593","05121",2675000,451200
" 680 5115R436","2012","07","West Virginia       ","26104","600","05121",163412000,2480900
"008B191854   ","2013","05","Michigan            ","49544","100","05219",0,51300
" 680 6B889228","2012","08","Pennsylvania        ","19073","620","05121",350000000,3239300
" 680 1A857142","2012","08","Oregon              ","97128","712","05121",16503000,106400
" 680 7A084281","2012","08","Illinois            ","60440","712","05219",0,322800
"005C447461   ","2013","12","Texas               ","78258","169","05122",208000,67800
" 680 1021X724","2012","08","Illinois            ","60005","712","05219",0,64900
" 680 4925L766","2012","06","New Jersey          ","07068","651","05119",0,28600
"006C878848   ","2013","01","New York            ","11753","612","05122",1365000,77200
"002342R781   ","2013","06","North Carolina      ","27406","169","05122",273000,37600
"009A504343   ","2013","12","Illinois            ","60422","719","05122",2163000,280300
"008318R221   ","2013","08","Illinois            ","60622","612","05145",10000000,18200
" PACP8270L029","2012","08","Texas               ","75206","926","05132",0,1795700
" 680 567M2069","2012","08","Oregon              ","97222","719","05219",0,141800
"004652B881   ","2013","09","Massachusetts       ","01834","924","05223",29000,65100
" 680 4439R931","2012","08","Oregon              ","97504","651","05119",0,63400
" PACP2B996031","2012","02","Texas               ","77008","060","05122",0,175900
"0035F94199   ","2013","05","Utah                ","84321","665","05121",4258000,28400
"001591W215   ","2013","04","North Carolina      ","28226","620","05223",320000000,366300
" PACP2B824325","2012","01","Texas               ","75243","712","05233",0,114800
" PACP9789C114","2012","02","Texas               ","77833","712","05233",0,108000
"005A78327A   ","2013","08","South Carolina      ","29325","597","05121",9096000,209400
"005271L475   ","2013","07","New Mexico          ","87102","169","05122",1384000,265200
" 680 3316X313","2012","08","Illinois            ","60181","572","05219",0,29000
"009429R27A   ","2013","09","Ohio                ","44039","612","05121",2801000,52500
"006922R674   ","2013","09","Texas               ","75081","719","05122",218000,49800
"005310N40A   ","2013","08","Maryland            ","21204","566","05122",827000,57000
" 680 9A748097","2012","08","Pennsylvania        ","19137","712","05121",3738000,57400
" 680 2A908537","2012","08","Pennsylvania        ","19103","926","05119",0,142600
" 680 5484A232","2012","03","New Jersey          ","07040","712","05119",0,41200
" PACP7B986235","2012","06","Texas               ","75206","712","05233",0,464200
"002425W235   ","2013","10","Colorado            ","80919","620","05223",10000000,272600
"006D873511   ","2013","11","Louisiana           ","71291","665","05119",0,261300
"009783B520   ","2013","10","Indiana             ","46805","164","05121",2734000,93500
" 680 8437L252","2012","08","Virginia            ","23219","600","05121",140400000,1062300
" 680 2133N120","2012","06","Colorado            ","80226","712","05219",0,101900
" 680 1391X237","2012","08","California          ","92103","712","05219",0,230900
"009C625039   ","2013","05","Georgia             ","30224","010","05121",29778000,401700
"007296M45A   ","2013","10","Texas               ","77802","543","05223",11813000,3000600
"005D211831   ","2013","08","Kansas              ","66083","956","05223",83000,123300
" 680 4B575999","2012","08","California          ","95380","593","05119",0,9600
"005612P003   ","2013","01","Tennessee           ","37211","612","05121",2653000,65500
" 680 8723H18A","2012","08","New York            ","11590","745","05122",70000,24200
" 680 8440P81A","2012","04","New Jersey          ","08807","712","05119",0,37200
" 680 2A667215","2012","06","Indiana             ","46580","743","05119",0,55400
"000D440442   ","2013","04","North Carolina      ","28277","620","05121",155335000,1744600
"001D955889   ","2013","05","Massachusetts       ","02151","620","05121",6000000,116400
" 680 0126R529","2012","05","Mississippi         ","38664","651","05219",0,7200
"00903Y9138   ","2013","06","Connecticut         ","06120","416","05224",10000000,52400
"004D326789   ","2013","07","Tennessee           ","37025","984","05125",10000000,146200
"001C121120   ","2013","07","Illinois            ","61761","416","05224",10000000,12000
" 680 8A516750","2012","08","New Jersey          ","07087","651","05219",0,5900
" 680 7B99797A","2012","04","Maine               ","04062","940","05119",0,78300
" 680 7105X248","2012","08","California          ","94105","651","05119",0,7700
" 680 358M7052","2012","08","Nevada              ","89130","712","05219",0,230400
"003D990027   ","2013","07","District of Columbia","20036","169","05122",200000,44800
"006367C108   ","2013","06","New York            ","12078","638","05121",4960000,63200
"006A041523   ","2013","11","South Carolina      ","29615","416","05122",50000,1100
" PACP1B325366","2012","08","Texas               ","78218","712","05122",1606000,102500
"008A677705   ","2013","11","Illinois            ","60482","620","05223",20000000,272300
" 680 9593C941","2012","01","New Hampshire       ","03452","712","05219",0,302900
"006290H809   ","2013","10","Maryland            ","21211","612","05121",18828000,341700
" 680 2468M932","2012","04","Maryland            ","20785","712","05122",1093000,49800
"008B188801   ","2013","07","Massachusetts       ","02138","111","05122",1544000,106900
" 680 532M7643","2012","08","Nevada              ","89121","998","05122",9252000,73100
"00631M0972   ","2013","12","Utah                ","84065","984","05223",85000,251400
" 680 2559L570","2012","08","Utah                ","84057","926","05219",0,123500
" 680 8441L068","2012","08","Pennsylvania        ","19119","712","05122",579000,59900
"006D550088   ","2013","10","Missouri            ","64082","970","05223",682000,2301000
" 680 5C584455","2012","08","New York            ","11204","090","05219",0,61900
"002813W78A   ","2013","12","Illinois            ","60622","620","05121",14393000,229600
" 680 7B558253","2012","08","Washington          ","98056","712","05219",0,122000
" 680 6534P805","2012","04","Massachusetts       ","02472","758","05122",102000,21100
" 680 7B928569","2012","08","Oklahoma            ","74012","599","05121",3400000,72300
"005D458182   ","2013","10","North Carolina      ","27517","010","05121",0,4263300
" 680 34F33748","2012","06","New York            ","11561","546","05119",0,59300
" 680 8380X477","2012","08","New York            ","14414","110","05122",750000,54400
"006D259793   ","2013","09","Georgia             ","30141","010","05223",10000000,880300
"00653M8850   ","2013","12","Massachusetts       ","02467","564","05122",0,21700
" PACP9083L824","2012","02","Texas               ","79226","718","05121",15488000,985400
"003D229598   ","2013","06","Texas               ","78227","169","05121",4645000,183400
" 680 5A288976","2012","08","Massachusetts       ","02465","712","05219",0,120700
"008886P032   ","2013","05","Tennessee           ","37128","169","05224",0,33500
" 680 1938X192","2012","08","Massachusetts       ","01773","749","05122",54000,14300
" 680 8B208619","2012","05","Massachusetts       ","02149","599","05106",0,2000
"003469R218   ","2013","07","Kansas              ","66209","970","05223",32000,44700
" 680 483M4551","2012","08","California          ","93308","712","05119",0,170900
"007117L418   ","2013","11","Pennsylvania        ","19103","620","05121",13652000,294100
"008D237803   ","2013","11","Indiana             ","46311","169","05122",850000,184000
"005087N510   ","2013","05","Illinois            ","60613","620","05121",22761000,143600
" 680 8070H49A","2012","01","New York            ","10019","665","05119",0,62500
" 680 3389M809","2012","08","Alabama             ","35952","416","05119",0,23500
"006A524188   ","2013","10","Maryland            ","21009","620","05121",101759000,802200
"009C235615   ","2013","04","Nebraska            ","68508","169","05224",10000000,75600
"006D788642   ","2013","10","Idaho               ","83213","100","05219",0,47100
"000073C617   ","2013","07","New York            ","10028","594","05224",10000000,170500
"006A461818   ","2013","09","Kansas              ","66618","915","05125",5000000,5200
"004757B709   ","2013","10","Texas               ","75711","639","05224",10000000,76400
"007D123390   ","2013","10","Minnesota           ","55106","169","05224",10000000,22300
" 680 3183C142","2012","03","New Jersey          ","08724","712","05119",0,54500
" 680 0113P446","2012","08","California          ","95624","533","05219",0,10000
"009A728756   ","2013","12","Utah                ","84078","010","05224",20000000,3000
" 680 168M2268","2012","08","Montana             ","59417","091","05106",0,12300
"004C713862   ","2013","10","Tennessee           ","37211","090","05224",10000000,252500
"004464A296   ","2013","12","New Jersey          ","07644","612","05223",10000000,1323200
"005596R319   ","2013","09","Tennessee           ","37923","638","05122",575000,30100
"00491P749A   ","2013","08","Massachusetts       ","02302","543","05224",10000000,2379700
"002B426175   ","2013","03","Ohio                ","44233","164","05224",10000000,1900
"00370W2923   ","2013","06","South Carolina      ","29829","676","05121",18498000,575900
"009658M576   ","2013","11","Indiana             ","46528","040","05121",3018000,108200
" 680 2450P065","2012","08","Massachusetts       ","02026","093","05219",0,21600
" 680 5266B285","2012","08","Massachusetts       ","01835","712","05219",0,289900
"006902M732   ","2013","09","District of Columbia","20019","620","05121",10507000,138000
" PACP4332M667","2012","07","Texas               ","78749","612","05121",32099000,380900
"003595R051   ","2013","07","Oklahoma            ","73127","592","05122",651000,89400
"007B833396   ","2013","05","Illinois            ","61568","639","05121",6583000,60200
"003D303096   ","2013","07","Illinois            ","60074","620","05121",246745000,1770800
"006404C317   ","2013","06","Illinois            ","60641","620","05121",16318000,138400
" 680 2321N284","2012","02","New Jersey          ","07092","712","05121",4919000,88600
"009255R541   ","2013","10","New York            ","12901","665","05224",20000000,13200
"001037X617   ","2013","11","Colorado            ","80229","612","05121",3899000,166500
"002C149323   ","2013","08","Texas               ","75226","520","05122",4160000,194700
" 680 4674L242","2012","08","California          ","95670","531","05219",0,30000
" 680 1300B728","2012","08","Virginia            ","23510","091","05219",0,76700
"000D668737   ","2013","04","Texas               ","77388","169","05122",750000,411700
" 680 6B99649A","2012","04","Oklahoma            ","73108","091","05119",0,37400
" 680 3C102580","2012","08","Florida             ","32958","712","05219",0,745300
"000D01507A   ","2013","03","Mississippi         ","39047","974","05122",100000,28600
"007295N306   ","2013","06","New York            ","12442","620","05121",80621000,1218400
" 680 6098X901","2012","06","California          ","95628","651","05219",0,1500
"006A113719   ","2013","08","Illinois            ","60644","100","05223",4000,151400
"007966N769   ","2013","08","Texas               ","76522","147","05121",2466000,79400
" 680 1763R067","2012","08","California          ","90047","543","05219",0,55600
" 680 3724X148","2012","03","Michigan            ","48312","612","05121",142281000,966500
"002A936769   ","2013","06","Massachusetts       ","02360","542","05145",10000000,1900
" 680 4424X44A","2012","02","Tennessee           ","38002","926","05119",0,45700
" 680 1A535872","2012","05","Rhode Island        ","02904","712","05219",0,385200
" 680 8447H038","2012","01","Nebraska            ","68066","719","05122",36100000,329400
"009D140787   ","2013","11","Missouri            ","63129","135","05121",2010000,302800
"002850N993   ","2013","03","North Carolina      ","27822","169","05121",1485000,84100
"002D882123   ","2013","07","Montana             ","59405","561","05224",20000000,348800
" 680 1336X562","2012","08","Washington          ","98011","612","05219",0,15000
" 680 3455N47A","2012","04","Missouri            ","63119","091","05106",0,7800
" 680 3041C096","2012","03","Colorado            ","80302","612","05122",788000,5700
" 680 4223M997","2012","06","Virginia            ","20166","110","05122",1051000,17200
" 680 9226B844","2012","08","Missouri            ","64108","755","05122",1697000,26400
" 680 1287B911","2012","08","California          ","94108","620","05223",233000,2289900
"009463C403   ","2013","10","New York            ","14580","665","05122",6384000,169900
" 680 9B128574","2012","05","New Jersey          ","07017","712","05119",0,63800
"001973B019   ","2013","05","Utah                ","84102","043","05122",8011000,275400
" 680 4262N275","2012","05","Pennsylvania        ","16105","612","05119",0,60500
" 680 9230H321","2012","08","North Dakota        ","58502","651","05105",0,38900
" 680 0051P986","2012","08","Maine               ","04106","090","05219",0,101600
"005A790456   ","2013","11","Tennessee           ","37076","719","05122",270000,33400
" 680 4415X780","2012","03","Virginia            ","24011","661","05122",48776000,417600
" PACP7654X495","2012","05","Texas               ","79404","049","05132",0,49000
"008578R645   ","2013","09","North Carolina      ","27028","416","05121",3878000,65000
"006760N038   ","2013","08","New Jersey          ","07039","612","05145",10000000,10200
" PACP8668M258","2012","08","Texas               ","78201","612","05233",0,17800
" 680 7A61391A","2012","08","New York            ","14424","090","05119",0,321200
" 680 4632N703","2012","05","California          ","93436","712","05219",0,426500
"005890H10A   ","2013","08","South Carolina      ","29401","416","05122",1033000,122200
" 680 4B109128","2012","02","North Carolina      ","28031","712","05219",0,121500
"004D192328   ","2013","08","Massachusetts       ","01867","100","05219",0,139100
"009A263309   ","2013","12","Wisconsin           ","53210","169","05122",433000,147100
" 680 6D948955","2012","08","California          ","95864","712","05119",0,17300
"007D527267   ","2013","10","Nebraska            ","68112","983","05223",30000,48000
"009C414980   ","2013","03","Ohio                ","44839","100","05223",1000,20600
" 680 8559N719","2012","08","California          ","92509","092","05119",0,43300
"008974X741   ","2013","12","Arizona             ","85635","100","05219",0,57100
" 680 6A620521","2012","08","Connecticut         ","06515","712","05219",0,124300
"000E008767   ","2013","12","New York            ","10467","134","05223",1000,283900
"007036L760   ","2013","10","Tennessee           ","37172","988","05125",10000000,15800
"003672M781   ","2013","05","Michigan            ","49201","641","05122",1847000,68000
" 680 6815B240","2012","08","Virginia            ","22408","091","05119",0,53100
" 680 677Y7897","2012","05","Pennsylvania        ","18640","712","05219",0,149400
" 680 3317X660","2012","01","Louisiana           ","71202","093","05219",0,15500
"001773P864   ","2013","10","Alabama             ","36201","665","05121",12979000,82600
" 680 3028R289","2012","06","Washington          ","98005","926","05119",0,14500
"008254X485   ","2013","05","Illinois            ","60649","620","05223",8000,25500
" 680 9091C953","2012","01","New York            ","13090","651","05219",0,27400
" 680 7878H768","2012","08","Pennsylvania        ","19130","416","05219",0,18000
" 680 9B04884A","2012","06","New York            ","12065","156","05219",0,19000
" 680 1C371090","2012","05","California          ","93701","712","05121",4841000,60500
"00491M2594   ","2013","11","Louisiana           ","71055","612","05223",20000000,63500
" 680 6257L454","2012","08","Ohio                ","43017","651","05119",0,6700
" 680 6693P853","2012","03","New Jersey          ","08037","712","05122",1082000,54300
"004701L709   ","2013","09","Illinois            ","60461","620","05140",60000000,227900
"006599L478   ","2013","11","Kansas              ","67213","612","05122",487000,21200
"002D035942   ","2013","06","Virginia            ","20169","620","05121",182000000,1982600
" 680 7B675365","2012","05","California          ","91335","712","05219",0,179200
" 680 7B591133","2012","08","Iowa                ","50010","612","05121",140000000,915300
" 680 1166N651","2012","01","Nevada              ","89074","712","05122",0,4800
"009250M743   ","2013","12","Massachusetts       ","01536","100","05223",22000,375300
" 680 3959C852","2012","03","Illinois            ","60616","612","05121",30750000,543200
"003B137086   ","2013","02","South Carolina      ","29303","169","05224",10000000,393100
"001A346876   ","2013","05","Colorado            ","80211","665","05122",1622000,39600
" 680 5B144000","2012","03","Pennsylvania        ","19094","091","05119",0,57400
"009288B582   ","2013","09","Wisconsin           ","54406","719","05122",3000000,78300
"007D834427   ","2013","12","Texas               ","76354","169","05122",170000,20100
" 680 6285L43A","2012","08","Oklahoma            ","74855","712","05121",3812000,274500
"005986M009   ","2013","10","Illinois            ","60631","620","05121",8576000,148800
"008647X072   ","2013","06","New York            ","12449","169","05223",291000,197000
" 680 59G47394","2012","06","New Jersey          ","07940","571","05119",0,14300
"005A551408   ","2013","09","New Mexico          ","88011","496","05119",0,95800
" 680 6516L561","2012","08","Georgia             ","31206","599","05219",0,21700
" 680 5A153025","2012","08","California          ","90069","651","05119",0,20200
" 680 7070W550","2012","07","Ohio                ","44124","651","05219",0,91600
" 680 2798R090","2012","06","Missouri            ","63069","091","05106",0,14200
"005675L107   ","2013","07","Kentucky            ","40505","044","05145",10000000,3700
" 680 4C006043","2012","08","New York            ","11366","599","05116",0,17400
"002D173668   ","2013","06","Alabama             ","35020","169","05122",200000,76000
" 680 4A48354A","2012","07","New Jersey          ","07103","712","05122",0,30800
"000C524039   ","2013","09","Massachusetts       ","01960","913","05219",0,29000
"008C860540   ","2013","02","Arkansas            ","72211","101","05122",2000000,71300
"009B185507   ","2013","05","Illinois            ","60609","100","05219",0,40900
"001819C116   ","2013","12","Colorado            ","80443","620","05121",72098000,695500
"008B112056   ","2013","06","Colorado            ","80631","090","05122",582000,61800
" 680 2435B934","2012","06","North Carolina      ","28269","712","05219",0,173500
" 680 8484P504","2012","03","New York            ","10965","651","05219",0,25500
" 680 1C499872","2012","08","Iowa                ","51246","926","05106",0,124500
"007C432560   ","2013","12","Illinois            ","60630","100","05219",0,85100
"002C275616   ","2013","09","Georgia             ","30318","147","05121",3982000,49000
" 680 6B706127","2012","08","Pennsylvania        ","15106","599","05119",0,76900
" PACP7651R530","2012","08","Texas               ","75075","573","05132",0,2600
"008D518938   ","2013","12","West Virginia       ","26101","665","05122",10107000,271100
" 680 1777N683","2012","01","Georgia             ","30311","712","05219",0,114200
" 680 1B933218","2012","08","North Carolina      ","27332","712","05219",0,59600
" 680 2374N90A","2012","08","District of Columbia","20005","661","05122",23113000,171800
"004A917056   ","2013","08","Illinois            ","60714","620","05121",142846000,1025000
" 680 4B807766","2012","03","California          ","91405","533","05219",0,10500
" 680 2955R966","2012","08","California          ","94590","651","05119",0,15000
" 680 2363X918","2012","01","New York            ","12144","712","05219",0,123400
"005369N433   ","2013","05","Wisconsin           ","54847","044","05145",40000000,1800
"005345H888   ","2013","08","North Carolina      ","28401","636","05122",770000,61000
" 680 7A658938","2012","08","Wyoming             ","82001","744","05119",0,146100
"004861M10A   ","2013","07","South Carolina      ","29379","612","05121",39720000,1160900
"005D982902   ","2013","11","Michigan            ","48034","169","05122",1000000,289700
"004D620512   ","2013","07","Michigan            ","48310","136","05122",0,154200
"007187X410   ","2013","04","Colorado            ","80022","456","05145",10000000,2500
"006C023152   ","2013","07","Kansas              ","66219","665","05121",12017000,246700
" 680 7D572620","2012","08","Massachusetts       ","01752","612","05219",0,29500
"001D196358   ","2013","04","Oklahoma            ","74105","169","05122",500000,154400
" 680 5359L448","2012","08","New Jersey          ","07512","620","05223",32000,246900
" 680 2098R811","2012","08","Massachusetts       ","01844","090","05219",0,43400
"008354C815   ","2013","10","Georgia             ","30315","440","05223",20000000,101400
"006D195049   ","2013","10","Massachusetts       ","01801","970","05223",1173000,996900
"008498M449   ","2013","11","Pennsylvania        ","19027","665","05121",2968000,44200
